,,,Premature death (Years of Potential Life Lost),,,,,,,Poor or fair health,,,,,Poor physical health days,,,,,Poor mental health days,,,,,Low birthweight,,,,,,Adult smoking,,,,,Adult obesity,,,,Binge drinking,,,,,Motor vehicle crash death rate,,,,,Chlamydia rate,,,,Teen birth rate,,,,,Uninsured adults,,,,Primary care provider rate*,,Previous Primary care provider rate data--used to calculate rankings*,,,,,Preventable hospital stays (Ambulatory Care Sensitive Conditions),,,,,Diabetic screening,,,,,Hospice use,,,,High school graduation,,,,College degrees,,,,Unemployment,,,,Children in poverty,,,,Income inequality,,Inadequate social support,,,,,Single-parent households,,,,Violent crime rate,,,,Homicide rate,,,,,Air pollution-particulate matter days,,Air pollution-ozone days,,Access to healthy foods,,,,,Liquor store density,,,
FIPS,State,County,Unreliable,Deaths,Aggregate Population,YPLL Rate,95% CI - Low,95% CI - High,Quartile,Sample Size,% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Sample Size,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Sample Size,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,Sample Size,% LBW,95% CI - Low,95% CI - High,Quartile,Sample Size,% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Quartile,Unreliable,MV mortality rate,95% CI - Low,95% CI - High,Quartile,Cases,Population,"Rates per 100,000",Quartile,Teen Births ,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,% Uninsured,95% CI - Low,95% CI - High,Quartile,PCP No,PCP Rate,Unreliable,Population,PCP No,PCP Rate,Quartile,No of Medicare enrollees,ACSC Rate,95% CI - Low,95% CI - High,Quartile,No of Diabetics,% HbA1c,95% CI - Low,95% CI - High,Quartile,% Hospice Use,95% CI - Low,95% CI - High,Quartile,Enrollment,Diplomas,AFGR,Quartile,% College,95% CI - Low,95% CI - High,Quartile,% unemployed,95% CI - Low,95% CI - High,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,GINI,Quartile,Sample Size,% No Social-Emotional Support,95% CI - Low,95% CI - High,Quartile,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,Aggregate Population,Violent Crimes,Violent Crime Rate,Quartile,Unreliable,Homicide Rate,95% CI - Low,95% CI - High,Quartile,PM Days,Quartile,Ozone Days,Quartile,Unreliable,Zip Codes with Healthy Food,# Zip Codes,% Healthy Food,Quartile,Population,Liquor Stores,Liquor Store Rate,Quartile
01001,Alabama,Autauga,,670,137881,9778,8786,10770,2,284,26,20,33,4,255,5.5,4.2,6.8,4,258,4.1,2.8,5.5,2,,4406,9,8,10,1,286,28,22,36,4,30,25,36,1,283,14,9,21,4,,29,23,35,2,184,49730,370,2,599,53,48,57,1,14,12,16,1,25,52,,49730,37,74,2,9407,92,85,98,2,524,81,78,85,1,35,28,44,2,632,452,72,1,21,18,23,1,5,4,5,1,14,11,16,1,41,1,178,28,19,38,4,9,7,11,2,146986,377,256,3,,,,,NR,4,1,0,1,,2,8,25,4,49109,2,0.4,2
01003,Alabama,Baldwin,,2148,449589,8222,7716,8727,1,1088,13,11,16,1,960,3.6,2.9,4.3,1,964,4.1,3.2,4.9,2,,13485,9,8,9,1,1086,23,19,27,2,25,21,28,1,1074,18,14,22,4,,24,21,27,1,416,169162,246,2,1667,49,46,51,1,21,19,23,4,115,71,,169162,175,103,1,43980,65,63,68,1,1761,79,77,81,2,43,39,48,1,1945,1304,67,2,26,25,28,1,4,4,4,1,15,13,18,1,45,2,694,19,14,24,1,9,7,10,1,502263,862,172,2,,,,,NR,4,1,3,4,,11,26,42,2,168233,13,0.8,3
01005,Alabama,Barbour,,424,79450,10686,9263,12109,2,210,24,18,32,3,187,6.1,3.9,8.4,4,186,3.8,2.4,5.3,2,,2618,11,10,12,3,211,23,16,31,2,36,30,43,4,209,10,5,18,2,,30,23,38,2,165,28171,586,3,502,75,69,82,4,15,13,17,2,12,41,,28171,14,50,3,6546,92,85,99,2,374,80,76,84,2,64,53,77,1,339,191,56,4,11,9,13,3,8,7,8,4,34,28,40,4,47,3,140,11,6,17,1,14,10,18,4,84368,54,64,1,,,,,NR,7,4,0,1,,2,5,40,2,28125,3,1.1,4
01007,Alabama,Bibb,,373,60430,13070,11271,14868,4,203,18,12,26,1,182,4.2,2.8,5.6,2,180,5.3,3.4,7.2,4,,1887,9,8,10,2,202,,,,2,32,26,38,2,199,10,5,17,2,,41,31,52,4,61,21482,284,2,295,68,60,75,4,18,15,20,4,9,42,,21482,13,61,3,4033,97,87,107,2,212,75,69,80,3,22,15,33,4,313,189,60,4,11,8,14,3,5,5,6,2,24,19,29,2,40,1,151,,,,2,5,2,8,1,64273,82,128,1,,,,,NR,4,1,0,1,,4,8,50,1,21341,1,0.5,2
01009,Alabama,Blount,,787,155580,8930,8040,9819,1,295,25,19,31,4,247,5.6,3.9,7.3,4,249,4.5,2.8,6.2,3,,4750,7,7,8,1,295,23,18,30,2,32,26,38,2,292,6,3,11,1,,29,23,34,2,48,56436,85,1,654,57,53,61,2,21,18,23,4,11,20,,56436,20,35,4,8110,102,95,109,3,350,77,72,81,3,36,29,45,2,667,487,73,1,12,10,14,3,4,4,4,1,19,15,22,1,41,1,176,10,7,15,1,7,4,10,1,167408,157,94,1,,,,,NR,9,4,1,4,,4,7,57,1,55811,,0.0,1
01011,Alabama,Bullock,,213,30605,15081,12484,17677,4,84,,,,2,76,5.0,2.5,7.5,3,75,2.8,1.1,4.5,1,,1152,13,11,15,4,85,,,,2,37,30,45,4,82,5,2,12,1,,55,38,71,4,79,10906,724,4,224,85,74,96,4,17,15,20,3,8,73,,10906,9,83,2,1837,117,103,131,4,90,79,70,87,2,25,16,42,4,137,87,64,3,9,7,10,4,10,9,11,4,39,31,47,4,47,3,58,,,,2,18,16,19,4,,,,3,,,,,NR,13,4,0,1,,1,4,25,4,10742,1,0.9,4
01013,Alabama,Butler,,397,55895,13492,11634,15351,4,183,22,17,28,2,157,3.9,2.5,5.3,1,159,3.1,1.8,4.4,1,,1951,11,9,12,3,183,28,19,38,4,36,29,42,4,179,9,4,19,2,,37,27,47,4,130,20520,634,3,362,66,59,73,3,15,12,17,2,9,44,,20520,11,54,3,6433,177,168,187,4,324,70,65,75,4,30,23,39,3,283,194,69,2,12,,,2,8,7,8,4,34,28,40,4,44,2,118,,,,2,10,7,13,3,60724,132,217,2,,,,,NR,5,2,0,1,,2,5,40,2,20213,1,0.5,2
01015,Alabama,Calhoun,,2035,313874,11526,10838,12214,3,895,25,21,28,3,793,5.2,4.4,5.9,3,798,4.8,4.0,5.7,4,,10482,9,9,10,2,899,27,23,31,4,33,29,38,3,888,12,9,16,4,,28,24,32,2,604,112903,535,3,1599,60,57,63,3,13,12,15,1,96,86,,112903,124,110,1,31000,102,99,106,3,1508,78,75,80,2,25,22,29,4,1328,863,65,3,17,16,18,2,5,5,5,2,25,21,28,2,46,2,581,22,17,27,4,10,9,12,3,337861,1808,535,4,,,,,NR,8,4,0,1,,9,18,50,1,112704,7,0.6,2
01017,Alabama,Chambers,,610,97016,10380,9200,11560,2,223,,,,2,187,4.2,2.9,5.6,2,195,4.9,2.8,7.0,4,,3029,10,9,11,3,222,17,12,24,1,36,30,43,4,219,10,5,18,2,,28,21,34,2,223,35176,634,4,566,71,65,77,4,13,11,16,1,20,57,,35176,25,71,2,11440,86,81,92,2,597,78,75,81,2,42,35,49,1,421,268,64,3,10,8,12,4,13,13,14,4,25,20,30,2,40,1,139,,,,2,9,7,12,2,104748,217,207,2,,,,,NR,7,4,0,1,,3,4,75,1,34821,3,0.9,3
